file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,50,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,51,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,27
style.css,52,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,19
style.css,53,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,18
style.css,54,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,21
style.css,55,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,22
style.css,56,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,44
style.css,57,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,58,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,0
style.css,59,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,36
style.css,60,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,5
style.css,61,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,81
style.css,62,css,06172a81,joshosofsky-ucsd,2025-01-23,23:03:46,-08:00,2025-01-23T23:03:46-08:00,0,24
style.css,63,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,64,css,980fe619,joshosofsky-ucsd,2025-01-09,13:04:47,-08:00,2025-01-09T13:04:47-08:00,0,5
style.css,65,css,980fe619,joshosofsky-ucsd,2025-01-09,13:04:47,-08:00,2025-01-09T13:04:47-08:00,0,44
style.css,66,css,980fe619,joshosofsky-ucsd,2025-01-09,13:04:47,-08:00,2025-01-09T13:04:47-08:00,0,43
style.css,67,css,980fe619,joshosofsky-ucsd,2025-01-09,13:04:47,-08:00,2025-01-09T13:04:47-08:00,0,1
style.css,68,css,980fe619,joshosofsky-ucsd,2025-01-09,13:04:47,-08:00,2025-01-09T13:04:47-08:00,0,24
style.css,69,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,16
style.css,70,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,19
style.css,71,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,13
style.css,72,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,29
style.css,73,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,33
style.css,74,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,24
style.css,75,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,76,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,27
style.css,77,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,4
style.css,78,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,63
style.css,79,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,49
style.css,80,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,40
style.css,81,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,65
style.css,82,css,06172a81,joshosofsky-ucsd,2025-01-23,23:03:46,-08:00,2025-01-23T23:03:46-08:00,0,115
style.css,83,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,89
style.css,84,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,67
style.css,85,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,64
style.css,86,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,42
style.css,87,css,e2193bac,joshosofsky-ucsd,2025-01-29,22:35:36,-08:00,2025-01-29T22:35:36-08:00,0,9
style.css,88,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,29
style.css,89,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,53
style.css,90,css,06172a81,joshosofsky-ucsd,2025-01-23,23:03:46,-08:00,2025-01-23T23:03:46-08:00,0,40
style.css,91,css,06172a81,joshosofsky-ucsd,2025-01-23,23:03:46,-08:00,2025-01-23T23:03:46-08:00,0,40
style.css,92,css,06172a81,joshosofsky-ucsd,2025-01-23,23:03:46,-08:00,2025-01-23T23:03:46-08:00,0,24
style.css,93,css,06172a81,joshosofsky-ucsd,2025-01-23,23:03:46,-08:00,2025-01-23T23:03:46-08:00,0,26
style.css,94,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
style.css,95,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,18
style.css,96,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,17
style.css,97,css,a8b5dac8,joshosofsky-ucsd,2025-01-14,11:59:48,-08:00,2025-01-14T11:59:48-08:00,0,0
